Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Midrand Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Python,Microsoft Sql Server;Redis,Microsoft Azure,Angular,Advertising Services,Chatgpt,Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Powershell,Elasticsearch;Postgresql,Openshift,Asp.net Core,Legal Services,Chatgpt,Adrenaline;Github Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Html/Css;Typescript,Postgresql,Amazon Web Services (Aws),Asp.net Core;React,Healthcare,Chatgpt,Replit Ghostwriter;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Haskell;Html/Css;Java;Javascript;Kotlin,Mysql;Solr,Amazon Web Services (Aws),Node.js;React;Vue.js,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Github Copilot;Mintlify,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);C#;Javascript;Powershell;Python,Firebase Realtime Database;Mongodb;Sqlite,Amazon Web Services (Aws);Firebase;Heroku;Microsoft Azure,Flask,"Information Services, It, Software Development, Or Other Technology",Bing Ai;Chatgpt;Google Bard Ai,Aws Codewhisperer,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am Learning To Code,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;C++;Gdscript;Javascript;Php;Ruby;Sql,Mariadb;Microsoft Sql Server;Mysql;Sqlite,Heroku,Node.js,Legal Services,Chatgpt,Aws Codewhisperer;Github Copilot;Tabnine;Whispr Ai,"Student, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Python;Sql;Typescript,Dynamodb;Postgresql;Supabase,Amazon Web Services (Aws);Vercel,Svelte,"Manufacturing, Transportation, Or Supply Chain",Bing Ai;Chatgpt;Metaphor,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;C#;C++;Go;Javascript;Lua;Python;Sql;Zig,Influxdb;Postgresql;Sqlite,Amazon Web Services (Aws);Google Cloud,React,Advertising Services,Chatgpt,Mintlify;Synk Code,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,Computer Science,I Am Learning To Code,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C++;Html/Css;Java;Javascript;Kotlin;Php;Python;Typescript,Firebase Realtime Database;Mongodb;Mysql;Sqlite,Unknown,Angular;Asp.net;Node.js;React,Oil & Gas,Andi;Bing Ai;Chatgpt,Replit Ghostwriter,"Not Employed, But Looking For Work;Student, Part-Time"
Durban Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C++;Matlab;Php;Sql,Microsoft Sql Server;Mysql,Heroku,Django;Fastapi;Flask;Laravel,Advertising Services,Unknown,Adrenaline;Aws Codewhisperer;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Not Employed, But Looking For Work;Student, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Sql;Typescript;Vba;Visual Basic (.Net),Ibm Db2;Microsoft Access;Microsoft Sql Server;Oracle;Sqlite,Microsoft Azure,Asp.net;Asp.net Core;Blazor;Jquery;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;C#;C++;Clojure;Elixir;Erlang;Go;Html/Css;Java;Javascript;Perl;Php;Python;Ruby;Rust;Scala;Sql;Typescript,Cockroachdb;Duckdb;Dynamodb;Elasticsearch;H2;Ibm Db2;Mariadb;Microsoft Sql Server;Mongodb;Mysql;Oracle;Postgresql;Redis;Sqlite,"Amazon Web Services (Aws);Cloudflare;Fly.io;Google Cloud;Heroku;Hetzner;Linode, Now Akamai;Managed Hosting;Netlify;Openshift;Openstack;Vmware",Elm;Phoenix;React;Spring Boot,Advertising Services,Unknown,Whispr Ai,"Not Employed, And Not Looking For Work"
Durban Campus,Computer Science,I Am A Developer By Profession,Devops Specialist,"Associate Degree (A.a., A.s., Etc.)",C#;F#;Rust,Microsoft Sql Server;Postgresql,Digital Ocean;Microsoft Azure;Render,Angular;Asp.net Core;Svelte,Financial Services,Chatgpt,Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Qa Or Test","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Go;Groovy;Java;Javascript;Kotlin;Powershell;Python;Rust;Sql;Typescript,Cassandra;Cockroachdb;Elasticsearch;Oracle,Amazon Web Services (Aws),Express;Node.js;React;Spring Boot,Higher Education,Bing Ai;Chatgpt,Codeium,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Mobile","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Python,Mariadb;Postgresql,Unknown,Spring Boot;Wordpress,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Synk Code;Tabnine,"Employed, Full-Time;Student, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,Other (Please Specify):,Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Go;Html/Css;Java;Javascript;Php;Python;Ruby;Sql,Firebase Realtime Database;Mariadb;Mongodb;Mysql;Postgresql;Redis;Sqlite,"Digital Ocean;Firebase;Linode, Now Akamai;Managed Hosting;Microsoft Azure;Vmware",Fastapi;Flask;Node.js;Vue.js,Oil & Gas,Unknown,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,Cloud Infrastructure Engineer,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;Go;Javascript;Lua;Php;Powershell;Python;Ruby;Rust;Sql;Typescript,Elasticsearch;Mariadb;Postgresql;Redis;Sqlite,Digital Ocean,Next.js,Legal Services,Chatgpt;Wolframalpha,Adrenaline;Github Copilot;Synk Code,"Employed, Full-Time;Student, Part-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Php;Powershell;Sql,Mariadb;Microsoft Access;Microsoft Sql Server;Mysql;Sqlite,Microsoft Azure,Laravel;Node.js;Wordpress,Healthcare,Bing Ai;Chatgpt;Google Bard Ai;Wolframalpha,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Qa Or Test","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Java;Javascript;Python;R;Sql;Vba,Microsoft Access;Mysql;Postgresql;Sqlite,Vercel,Django;Next.js,"Manufacturing, Transportation, Or Supply Chain",Bing Ai;Chatgpt;Google Bard Ai;Wolframalpha,Rubber Duck.ai,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Assembly;Bash/Shell (All Shells);C;C++;Html/Css;Java;Javascript;Kotlin;Php;Python;Scala;Sql;Typescript,Firebase Realtime Database;Mongodb;Postgresql;Sqlite;Supabase,Vercel,Angular;Jquery;Laravel;Next.js;Node.js;React;Spring Boot,Wholesale,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed;Employed, Part-Time;Student, Part-Time"
Durban Campus,It,I Code Primarily As A Hobby,Unknown,Primary/Elementary School,Bash/Shell (All Shells);C#;C++;Html/Css;Javascript;Php;Python,Mariadb;Mysql,Unknown,Express;Jquery;Node.js,Wholesale,Unknown,Rubber Duck.ai;Synk Code,"Student, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Php;Sql,Mysql,Amazon Web Services (Aws),Angular;Angularjs;Laravel;Wordpress,Insurance,Google Bard Ai,Adrenaline;Github Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Not Employed, But Looking For Work"
Durban Campus,Computer Science,I Code Primarily As A Hobby,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Python,Mysql;Sqlite,Unknown,Django;Jquery,"Information Services, It, Software Development, Or Other Technology",Bing Ai,Adrenaline;Github Copilot;Synk Code,I Prefer Not To Say
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Java;Kotlin;Typescript,Mongodb;Mysql,Unknown,React;Spring Boot,Healthcare,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Html/Css;Javascript;Python;Typescript,Cloud Firestore;Firebase Realtime Database;Oracle;Postgresql;Sqlite,Digital Ocean;Firebase,Django;Express;Node.js;React,Higher Education,Unknown,Aws Codewhisperer;Github Copilot,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,Student,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);C++;Groovy;Html/Css;Java;Javascript;Powershell;Python;Typescript,Sqlite,Unknown,Express;Node.js,Other,Bing Ai;Chatgpt;Wolframalpha,Adrenaline,"Employed, Full-Time;Student, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,Devops Specialist,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;Go;Java;Javascript;Python;Sql;Typescript,Bigquery;Dynamodb;Elasticsearch;Microsoft Sql Server;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Google Cloud;Microsoft Azure,Node.js;React;Spring Boot,Retail And Consumer Services,Bing Ai,Adrenaline;Github Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Unknown,Primary/Elementary School,C;C#;C++;Html/Css;Javascript;Sql,Bigquery;Microsoft Sql Server,Unknown,Asp.net;Asp.net Core;Jquery;Wordpress,Healthcare,Unknown,Github Copilot;Replit Ghostwriter;Whispr Ai,"Student, Full-Time"
Durban Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C++;Html/Css;Java;Javascript;Matlab;Php;Python;Sql;Typescript,Mariadb;Mongodb;Mysql;Oracle;Postgresql;Sqlite,Unknown,Express;Next.js;Node.js;React,Higher Education,Chatgpt;Wolframalpha,Aws Codewhisperer;Github Copilot;Tabnine;Whispr Ai,"Student, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,Educator,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;Clojure;Lisp;Python;Sql,Postgresql;Sqlite,Heroku,Django;Jquery,Other,Chatgpt,Aws Codewhisperer;Github Copilot;Whispr Ai,"Employed, Part-Time"
Mbombela Campus,It,I Am A Developer By Profession,Engineering Manager,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Python;Typescript,Postgresql,Cloudflare;Google Cloud,Django;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Python,Bigquery;Elasticsearch;Firebase Realtime Database;Postgresql;Redis,Amazon Web Services (Aws);Firebase;Hetzner,Fastapi,Insurance,Chatgpt;Wolframalpha,Aws Codewhisperer;Github Copilot;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Code Primarily As A Hobby,Unknown,Primary/Elementary School,C++;Html/Css;Java;Javascript;Lua;Python;Sql;Swift;Typescript,Mongodb;Sqlite,Heroku,Next.js;Node.js;React,Financial Services,Bing Ai;Chatgpt,Aws Codewhisperer;Mintlify,"Student, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;C#;C++;Go;Javascript;Rust,Cloud Firestore;Mysql;Sqlite,Amazon Web Services (Aws);Cloudflare;Digital Ocean,Svelte,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Synk Code;Tabnine,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,Other (Please Specify):,Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Javascript;Python;Sql;Swift;Typescript,Postgresql,Amazon Web Services (Aws);Cloudflare,Django;React,Oil & Gas,Chatgpt;Phind,Adrenaline;Aws Codewhisperer,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,It,I Am A Developer By Profession,Devops Specialist,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Python;Sql,Dynamodb;Ibm Db2;Microsoft Sql Server;Mysql;Oracle;Snowflake;Sqlite,Amazon Web Services (Aws),Fastapi;Gatsby,"Manufacturing, Transportation, Or Supply Chain",Unknown,Aws Codewhisperer;Replit Ghostwriter,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Cosmos Db;Elasticsearch;Microsoft Sql Server;Mysql,Heroku;Microsoft Azure,Asp.net;Express;React,Retail And Consumer Services,Unknown,Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Php;Typescript,Mongodb;Mysql,Cloudflare;Microsoft Azure,Jquery;Next.js;Node.js;React;Wordpress,Wholesale,Bing Ai;Chatgpt;Google Bard Ai;Phind,Codeium;Synk Code;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed;Employed, Part-Time"
Midrand Campus,Data Science,I Code Primarily As A Hobby,Unknown,Some College/University Study Without Earning A Degree,Go;Html/Css;Kotlin;Python;Typescript,Sqlite,Unknown,React,Legal Services,Unknown,Codeium;Github Copilot;Synk Code,"Student, Full-Time"
Durban Campus,Computer Science,I Am Learning To Code,Student,Some College/University Study Without Earning A Degree,C;C++;Html/Css;Java;Javascript;Python;Rust;Sql,Postgresql,Netlify,Flask,Higher Education,Chatgpt;Wolframalpha,Whispr Ai,"Not Employed, But Looking For Work;Student, Full-Time"
Durban Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Data Scientist Or Machine Learning Specialist,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;C++;Fortran;Lisp;Matlab;Python;Sql,Mariadb;Mysql;Postgresql;Sqlite,Amazon Web Services (Aws);Google Cloud,Fastapi,Insurance,Chatgpt;Google Bard Ai;You.com,Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,Research & Development Role,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C++;Python,Mongodb;Postgresql,Amazon Web Services (Aws),Fastapi,Higher Education,Chatgpt,Aws Codewhisperer;Synk Code,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,Developer Experience,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Kotlin;Rust;Typescript,Mongodb;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare,Express;Next.js;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,Project Manager,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Dart;Html/Css;Javascript;Kotlin;Php;Python;Sql,Elasticsearch;Mariadb;Mysql;Redis,Ovh;Vmware,Jquery;Laravel,Higher Education,Chatgpt,Adrenaline;Github Copilot,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,"Developer, Mobile","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Groovy;Java;Javascript;Kotlin;Python;Rust;Sql;Typescript,Clickhouse;H2;Mysql,Hetzner,Django;React;Spring Boot,Financial Services,Unknown,Github Copilot,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Qa Or Test","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C#;Groovy;Html/Css;Java;Javascript;Kotlin;Lua;Powershell;Python;Rust;Sql;Typescript,Cockroachdb;Dynamodb;H2;Oracle;Postgresql;Sqlite,Amazon Web Services (Aws);Digital Ocean;Google Cloud,Deno;Express;Spring Boot,Advertising Services,Chatgpt,Codeium;Synk Code;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Typescript,Mongodb,Unknown,Angular;Asp.net Core,"Manufacturing, Transportation, Or Supply Chain",Unknown,Adrenaline;Codeium;Github Copilot,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Javascript;Php,Mysql,Vercel,Codeigniter;Laravel;Node.js;Vue.js,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Whispr Ai,"Employed, Full-Time;Student, Part-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,Other (Please Specify):,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;C++;Java;Javascript;Php;Python;Sql,Microsoft Access;Microsoft Sql Server;Mysql;Neo4j;Postgresql;Sqlite,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure,Asp.net;Asp.net Core;Django;Flask;Laravel;Spring Boot;Vue.js;Wordpress,Financial Services,Andi;Bing Ai;Chatgpt;You.com,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed;Student, Part-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Dart;Go;Javascript;Kotlin;Python;Sql;Typescript,Cloud Firestore;Firebase Realtime Database;Mongodb;Mysql;Postgresql;Redis;Sqlite,Firebase;Google Cloud;Vultr,Angular;Express;Node.js,"Information Services, It, Software Development, Or Other Technology",Bing Ai;Chatgpt,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Python;Rust;Typescript,Bigquery;Elasticsearch;Firebase Realtime Database;Influxdb;Mongodb;Mysql;Postgresql;Redis,Firebase;Fly.io;Google Cloud;Hetzner,Django;Next.js,Oil & Gas,Chatgpt;Google Bard Ai,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C#;Javascript;Sql;Typescript,Elasticsearch;Microsoft Sql Server;Mysql;Oracle;Postgresql;Redis,Amazon Web Services (Aws);Microsoft Azure;Openshift,Angular;Asp.net Core;Nestjs;Node.js,Wholesale,Bing Ai,Aws Codewhisperer;Github Copilot;Synk Code,"Employed, Full-Time;Student, Part-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Clojure;Java;Typescript,Mongodb;Postgresql,Amazon Web Services (Aws),React,Wholesale,Unknown,Tabnine,"Not Employed, And Not Looking For Work"
Pretoria Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;Html/Css;Javascript;Php;Python;Sql,Cloud Firestore;Mysql,Firebase;Netlify,Asp.net Core;Flask;React,Financial Services,Chatgpt,Adrenaline;Github Copilot;Synk Code,"Student, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,Student,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Kotlin;Php;Python,Mysql,Unknown,Flask,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Github Copilot;Tabnine;Whispr Ai,"Student, Full-Time;Employed, Part-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Php;Python;Ruby;Sql;Typescript,Dynamodb;Microsoft Sql Server;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Fly.io;Heroku;Microsoft Azure,Laravel;React;Ruby On Rails;Symfony;Vue.js,Other,Unknown,Github Copilot;Mintlify;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Senior Executive (C-Suite, Vp, Etc.)",Some College/University Study Without Earning A Degree,Clojure,Datomic,Amazon Web Services (Aws);Cloudflare,React,Other,Unknown,Adrenaline;Github Copilot;Tabnine,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,Student,Some College/University Study Without Earning A Degree,Assembly;Bash/Shell (All Shells);C;C#;C++;Java;Javascript;Lua;Php;Python;Typescript;Vba,Mariadb;Mysql;Postgresql;Sqlite,Vultr,Jquery;Laravel;Node.js,Financial Services,Unknown,Adrenaline;Tabnine,"Not Employed, But Looking For Work;Student, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Java;Sql,Microsoft Sql Server,Microsoft Azure,Spring Boot,Higher Education,Unknown,Github Copilot;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Javascript;Python;Sql;Typescript,Microsoft Sql Server,Microsoft Azure,Angular;Asp.net Core;Next.js;React,Other,Bing Ai;Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C++;Javascript,Dynamodb,Amazon Web Services (Aws),Express;Node.js,Wholesale,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Go;Html/Css;Javascript;Python;Rust;Sql;Typescript,Firebase Realtime Database;Postgresql;Sqlite,Digital Ocean,Express;Svelte,Retail And Consumer Services,Chatgpt,Adrenaline;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Java;Kotlin;Python,Microsoft Sql Server;Mysql;Sqlite,Unknown,Spring Boot;Vue.js,Wholesale,Unknown,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript;Perl;Php;Sql,Mysql;Redis,Amazon Web Services (Aws);Cloudflare;Scaleway,Jquery;Node.js;React;Wordpress,Oil & Gas,Chatgpt,Synk Code;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,Cloud Infrastructure Engineer,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Clojure;Dart;Go;Java;Javascript;Php;Python;Rust;Swift;Typescript;Zig,Dynamodb;Elasticsearch;Ibm Db2;Microsoft Sql Server;Mongodb;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Hetzner;Microsoft Azure;Openshift,Angularjs;Express;Flask;Jquery;Wordpress,Legal Services,Chatgpt;Phind,Codeium,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Qa Or Test","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;C++;Dart;Haskell;Powershell;Prolog;Python;Rust;Sql,Elasticsearch;Microsoft Sql Server,Microsoft Azure,Node.js,Oil & Gas,Chatgpt,Github Copilot;Synk Code;Tabnine,"Employed, Part-Time;Student, Part-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Ruby;Typescript,Mongodb;Mysql,Amazon Web Services (Aws);Firebase;Vercel,Jquery;Next.js;Node.js;React,Other,Chatgpt,Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, Full-Time"
